         4138279 function calls (4134817 primitive calls) in 69.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
     1254    0.000    0.000    0.000    0.000 environment.py:135(clear_queue)
        1    0.000    0.000    0.000    0.000 shapes.py:1032(__init__)
       98    0.000    0.000    0.000    0.000 hitbox.py:8(__init__)
      209    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
    36/24    0.000    0.000    0.000    0.000 {issubclass}
      150    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
       12    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 {method 'new_block' of 'ImagingCore' objects}
      119    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       95    0.000    0.000    0.000    0.000 manager.py:45(right_press)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1777(_loadtk)
      574    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.000    0.000 ImageTk.py:28(<module>)
        3    0.000    0.000    0.000    0.000 ImageFile.py:246(load_prepare)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1817(readprofile)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1700(wm_protocol)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      323    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      306    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 manager.py:19(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
       70    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
      377    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
