         10713126 function calls (10712000 primitive calls) in 51.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.001    0.000 earthdayprojects.py:106(down)
        2    0.000    0.000    0.000    0.000 Tkinter.py:384(destroy)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:35(<module>)
      146    0.000    0.000    0.000    0.000 {math.ceil}
      120    0.000    0.000    0.000    0.000 shapes.py:1045(set_text)
       33    0.000    0.000    0.000    0.000 earthdayprojects.py:27(update_backpack)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       30    0.000    0.000    0.000    0.000 {all}
       10    0.000    0.000    0.012    0.001 sre_compile.py:493(compile)
       10    0.000    0.000    0.001    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.015    0.015 earthdayprojects.py:1(<module>)
       73    0.000    0.000    0.000    0.000 {method 'putpalettealpha' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       56    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       71    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
       74    0.000    0.000    0.000    0.000 ImageFile.py:62(_tilesort)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       37    0.000    0.000    0.000    0.000 sprite.py:1070(set_size)
       56    0.000    0.000    0.000    0.000 <string>:8(__new__)
       10    0.000    0.000    0.005    0.001 sre_parse.py:675(parse)
        1    0.000    0.000    0.047    0.047 manager.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {_sre.compile}
        6    0.000    0.000    0.000    0.000 {posix.stat}
        5    0.000    0.000    0.039    0.008 earthdayprojects.py:78(add_prize)
       74    0.000    0.000    0.000    0.000 ImagePalette.py:35(getdata)
      356    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
      146    0.000    0.000    0.000    0.000 {math.floor}
        4    0.000    0.000    0.001    0.000 shapes.py:125(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:8(SpriteClass)
       56    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       30    0.000    0.000    0.000    0.000 sprite.py:984(set_position)
        1    0.000    0.000    0.045    0.045 Tkinter.py:1747(__init__)
       28    0.000    0.000    0.000    0.000 earthdayprojects.py:42(update_pollution)
       56    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       16    0.000    0.000    0.000    0.000 manager.py:41(up_press)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.001    0.001 environment.py:34(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1777(_loadtk)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      119    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       12    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.001    0.001 Tkinter.py:1808(destroy)
        1    0.000    0.000    0.002    0.002 Tkinter.py:2043(__init__)
      214    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       11    0.000    0.000    0.000    0.000 manager.py:32(key_press)
       74    0.000    0.000    0.000    0.000 ImageFile.py:255(load_end)
        6    0.000    0.000    0.000    0.000 posixpath.py:68(join)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       40    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 hitbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
       10    0.000    0.000    0.007    0.001 sre_compile.py:478(_code)
       30    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
       40    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
      100    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       28    0.000    0.000    0.000    0.000 environment.py:350(get_sprite_by_index)
       20    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
       40    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
      116    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       58    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        7    0.000    0.000    0.011    0.002 {map}
       30    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        1    0.000    0.000    0.000    0.000 Image.py:447(Image)
        1    0.000    0.000    0.000    0.000 environment.py:6(StageClass)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 environment.py:326(disable_all_walls)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.046    0.046 manager.py:4(Manager)
       15    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 {dir}
       10    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7f75b7e771b8}
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2186(Canvas)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
    36/24    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 {math.exp}
        4    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2655(Menu)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.111    0.111 run.py:15(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        3    0.000    0.000    0.001    0.000 shapes.py:1032(__init__)
        1    0.000    0.000    0.000    0.000 manager.py:19(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2061(destroy)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        5    0.000    0.000    0.000    0.000 Image.py:2131(register_open)
        1    0.000    0.000    0.000    0.000 locale.py:363(normalize)
        1    0.000    0.000    0.010    0.010 environment.py:243(set_background)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        2    0.000    0.000    0.000    0.000 {built-in method getvar}
        7    0.000    0.000    0.000    0.000 sprite.py:977(set_x)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
       10    0.000    0.000    0.012    0.001 re.py:188(compile)
       30    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1700(wm_protocol)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2886(Text)
       10    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2018(_setup)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1538(Wm)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        2    0.000    0.000    0.000    0.000 {math.log}
       10    0.000    0.000    0.000    0.000 Image.py:2168(register_extension)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.044    0.044 run.py:24(do)
